"Year","substitution","carbonintensity","embodied","landfill","pcenergy","total","path"
0,0,0,0,0,0,0,"biofuel"
1,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
2,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
3,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
4,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
5,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
6,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
7,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
8,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
9,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
10,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
11,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
12,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
13,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
14,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
15,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
16,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
17,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
18,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
19,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
20,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
21,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
22,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
23,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
24,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
25,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
26,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
27,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
28,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
29,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
30,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
31,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
32,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
33,1.15832215922289,-0.359397546193644,0,0,0,0.798924613029247,"biofuel"
