ID,Supersection,carbon_metric_tons
1,Northern California Coast,51.139050423697704
2,Sierra Nevada,39.84342328433063
3,Southern Cascades,35.01281720972383
4,Northern California Coast,51.139050423697704
5,Southern Cascades,19.640227694259668
6,Southern Cascades,21.87393002815114
7,Northern California Coast,51.139050423697704
8,Northern California Coast,51.139050423697704
9,Southern Cascades,35.01281720972383
10,Southern Cascades,35.01281720972383
11,Southern Cascades,35.01281720972383
12,Northern California Coast,51.139050423697704
13,Northern California Coast,51.139050423697704
14,California Central Valley Basin,12.094675776424985
15,Central California Coast,25.387922776547775
16,Sierra Nevada,39.84342328433063
17,Sierra Nevada,39.84342328433063
18,Sierra Nevada,39.84342328433063
19,Sierra Nevada,39.84342328433063
20,Sierra Nevada,39.84342328433063
21,Southern Cascades,35.01281720972383
22,Southern Cascades,21.87393002815114
23,Sierra Nevada,39.84342328433063
24,Southern Cascades,21.87393002815114
25,Sierra Nevada,21.083961686047175
26,Sierra Nevada,33.94136665160335
27,Sierra Nevada Foothills,8.943886166741473
28,Sierra Nevada Foothills,8.943886166741473
29,Southern Cascades,35.01281720972383
30,Northern California Coast,51.139050423697704
31,Southern Cascades,35.01281720972383
32,Sierra Nevada,33.94136665160335
33,Sierra Nevada,39.84342328433063
34,Sierra Nevada,33.94136665160335
35,Sierra Nevada,39.84342328433063
36,Sierra Nevada,39.84342328433063
37,Sierra Nevada,39.84342328433063
38,Sierra Nevada,39.84342328433063
39,Sierra Nevada,21.083961686047175
40,Sierra Nevada,39.84342328433063
41,Sierra Nevada,39.84342328433063
42,Sierra Nevada,21.083961686047175
43,Sierra Nevada,33.94136665160335
44,Sierra Nevada,39.84342328433063
45,Sierra Nevada,21.083961686047175
46,Southern Cascades,35.01281720972383
47,Northern California Coast,51.139050423697704
48,Northern California Coast,51.139050423697704
49,Northern California Coast,51.139050423697704
50,Northern California Coast,51.139050423697704
51,Northern California Coast,51.139050423697704
52,Northern California Coast,51.139050423697704
53,Southern Cascades,35.01281720972383
54,Southern Cascades,35.01281720972383
55,Northern California Coast,51.139050423697704
56,Northern California Coast,51.139050423697704
57,Northern California Coast,51.139050423697704
58,Northern California Coast,51.139050423697704
