biosum_cond_id,ID,acres,owngrpcd,rxcycle,rxpackage,county,mmbf_county,merch_yield_mmbf,target,random_harvest_assign,total_yield,cum_sum,error,random_harvest_assign1
1200606050601500746410002,3,3790.4925445038,40,1,032,Del Norte,19.3,0.00765727,16.1541,21.055895427326305,0.1612306763788029,0.1612306763788029,0.01,NA
1201606060601500621720001,2085,7109.2577343223,40,1,032,Del Norte,19.3,0.02991775,16.1541,73.33712266413544,2.194081701584938,2.355312377963741,0.01,NA
1201006051001500808190001,716,7523.9589376441,40,1,032,Del Norte,19.3,0.04603884,16.1541,205.78349543837098,9.47403342112789,11.82934579909163,0.01,NA
1200906050901500786290001,483,6380.354774664,40,1,032,Del Norte,19.3,0.01319534,16.1541,71.38304891618334,0.9419236006856707,12.771269399777301,0.01,NA
1201206060201500941900002,1167,2230.9086613931,40,1,032,Del Norte,19.3,0.05241701,16.1541,65.01863158333619,3.4080822618900486,16.17935166166735,0.01,NA
1200706050701500562420001,30,6597.3256588267,40,3,032,Del Norte,19.3,0.02392335,16.1541,675.3893534608557,16.157575889117762,16.157575889117762,0.01,675.3893534608557
1201306060301500935400001,1400,7523.9589376441,40,4,032,Del Norte,19.3,0.01137392,16.1541,1417.4960237803639,16.122486374795955,16.122486374795955,0.01,1417.4960237803639
1201106060100700775860003,926,2116.7190031015,40,1,032,Butte,52.5,0.33221217,43.942499999999995,97.23715705564327,32.30336695008606,32.30336695008606,0.01,NA
1201506060500700583720001,1844,6805.1500449109,40,1,032,Butte,52.5,0.03398252,43.942499999999995,42.63945858704063,1.44899625422328,33.75236320430934,0.01,NA
1201406060400700640070001,1606,7523.9589376441,40,1,032,Butte,52.5,0.02443774,43.942499999999995,2.140893827396668,0.05231860672152464,33.80468181103086,0.01,NA
1201306060300700585380002,1387,3704.6627729798,40,1,032,Butte,52.5,0.03307056,43.942499999999995,37.82043067181092,1.2507428217579633,35.05542463278883,0.01,NA
1200706050700700629700001,22,8231.4975334992,40,1,032,Butte,52.5,0.0171342,43.942499999999995,70.6681205331099,1.2108417108384115,36.26626634362724,0.01,NA
1201406060400700960810001,1610,7701.4218228315,40,1,032,Butte,52.5,0.02408357,43.942499999999995,51.277532863897676,1.23494605215498,37.50121239578222,0.01,NA
1200806050800700763940001,255,7523.9589376441,40,1,032,Butte,52.5,0.02924134,43.942499999999995,60.089339303788606,1.757092800957446,39.25830519673966,0.01,NA
1201606060600700909360001,2079,6497.4875206877005,40,1,032,Butte,52.5,0.10420552,43.942499999999995,44.932470367205944,4.682211439499286,43.94051663623895,0.01,NA
1201206060200700572670001,1161,6796.7917221289,40,2,032,Butte,52.5,0.04229666,43.942499999999995,554.3984953038339,23.44920466037786,23.44920466037786,0.01,554.3984953038339
1201406060400700998220001,1612,6787.6748197653,40,2,032,Butte,52.5,0.03220509,43.942499999999995,638.2213734746715,20.55397677267541,44.00318143305327,0.01,638.2213734746715
1200606050600700951860001,2,7523.9589376441,40,3,032,Butte,52.5,0.05147129,43.942499999999995,860.0247697413101,44.2665843305382,44.2665843305382,0.01,860.0247697413101
1201006051000700920300001,707,7523.9589376441,40,4,032,Butte,52.5,0.02874507,43.942499999999995,534.8217735863179,15.37348931926286,15.37348931926286,0.01,534.8217735863179
1201506060500700538850001,1841,8231.4975334992,40,4,032,Butte,52.5,0.03452551,43.942499999999995,183.00773800743355,6.318435488653027,21.69192480791589,0.01,183.00773800743355
1201106060100700509380001,922,7302.8665961262,40,4,032,Butte,52.5,0.04447093,43.942499999999995,61.21063775013028,2.722093986641401,24.41401879455729,0.01,61.21063775013028
1200806050800700763940001,255,7523.9589376441,40,4,032,Butte,52.5,0.05492235,43.942499999999995,60.089339303788606,3.300247724511434,27.714266519068723,0.01,37.31339336814197
1201406060400700642850001,1607,6904.4706649014,40,4,032,Butte,52.5,0.04215773,43.942499999999995,230.1643806295456,9.703207814197613,37.417474333266334,0.01,230.1643806295456
1201506060500700991780001,1847,8919.4470139422,40,4,032,Butte,52.5,0.03377528,43.942499999999995,183.7396994614209,6.20585979642534,43.62333412969168,0.01,183.7396994614209
1201106060104500815540001,1003,6787.6748197653,40,1,032,Mendocino,108.8,0.00708089,91.06559999999999,27.457580291510492,0.19442410571035373,0.19442410571035373,0.01,NA
1201606060604500912920001,2157,7133.162587276,40,1,032,Mendocino,108.8,0.0069528,91.06559999999999,57.41481747517435,0.39919374294139226,0.593617848651746,0.01,NA
1201406060304500907730001,1601,4821.6266124449,40,1,032,Mendocino,108.8,0.05663323,91.06559999999999,114.2369719732475,6.46960870826448,7.063226556916226,0.01,NA
1201606060604500885120001,2155,6904.4706649014,40,1,032,Mendocino,108.8,0.00335252,91.06559999999999,56.212389472411104,0.18845315995404766,7.251679716870274,0.01,NA
1200806050804500849660001,324,6640.4055849011,40,1,032,Mendocino,108.8,0.05340512,91.06559999999999,21.2668134917269,1.1357567265432942,8.387436443413568,0.01,NA
1201006051004500792080001,772,6773.7933978376,40,1,032,Mendocino,108.8,0.02986523,91.06559999999999,9.121614962996258,0.27241912884132474,8.659855572254893,0.01,NA
1201006051004500930880001,777,6558.4084479043,40,1,032,Mendocino,108.8,0.00685908,91.06559999999999,23.109261662124474,0.15850827448144475,8.818363846736338,0.01,NA
1201506060504500790050001,1909,7109.2577343223,40,1,032,Mendocino,108.8,0.06484365,91.06559999999999,97.88300995830973,6.347091638683151,15.165455485419487,0.01,NA
1200906050904500765780001,543,7109.2577343223,40,1,032,Mendocino,108.8,0.02675895,91.06559999999999,62.2892229240679,1.6667942017639867,16.832249687183474,0.01,NA
