biosum_cond_id,ID,acres,rxpackage,cum_discount_carb,cum_discount_merch,cum_discount_cost,discount_haul_chip,discount_haul_merch,discount_harvest,total_discount_carb,cum_discount_decay,cum_discount_biochar,cum_discount_val,base_disc_carb,base_disc_cost,base_disc_val,relative_carb,relative_cost,relative_val,total_carbon,total_cost,total_val,cpu,cpu_rev,value
12006060506007009e8,2,7523.9589376441,002,13.697420971636324,6.138450257830043,617.536925424753,0,0,0,26.695867831399852,6.859996601933483,0,2951.2242791288963,21.34971706538193,46.79002158637549,445.7030753544762,5.346150766017921,570.7469038383775,2505.52120377442,40224.218837973385,4294276.268267458,18851438.654595353,106.75847517549497,-361.9004372705259,3750567.499327219
12006060506015007e8,3,3790.4925445038,032,1.439294260974724,2.9834650727998264,2267.7963007887056,0,0,0,59.37137420726719,54.94861487349264,0,1796.8308315448078,31.352284133967892,12.597434554810675,9.981257487094185,28.019090073299296,2255.198866233895,1786.8495740577137,106206.15202662142,8548314.488833,6773039.988615555,80.4879409122204,16.71536409465677,12692915.916491283
12007060506023007e8,12,6787.6748197653,026,15.596700102136317,0,0,0,0,0,15.596700102136317,0,0,0,15.521671204650591,7.399385509098192,147.48598019872125,0.07502889748572628,-7.399385509098192,-147.48598019872125,509.27175821861624,-50224.62270184204,-1001086.8740632638,-98.62047500439245,1867.1018685337015,152078.97434556528
12007060507007006e8,22,8231.4975334992,032,-5.3889609844790325,6.488186158300914,1631.1057801012212,0,0,0,24.660465297445874,23.561240123623993,0,2492.163489056641,10.58089126152893,14.003184645485208,21.395439786763017,14.079574035916945,1617.102595455736,2470.7680492698782,115895.9789493697,13311176.025909046,20338121.10341363,114.85451131763737,-60.63148300058257,9868019.763964893
12007060507009006e8,26,6042.0274494911,032,-0.08257561615909689,28.74218189330929,3104.392898539306,0,0,0,48.586715950830836,19.927109673680647,0,8752.89572315044,10.641868002339482,21.91927113212149,59.30795152592323,37.94484794849136,3082.4736274071843,8693.587771624516,229263.81287155085,18624390.26912661,52526895.95071549,81.23562997515555,-147.87552059331477,27228372.30518356
12007060507015005e8,30,6597.3256588267,018,20.801636325933533,0.7985438383663434,113.55180070944267,0,30.287488808936875,83.2643119005058,22.856856108123623,1.2566759438237476,0,352.46970236899716,22.107637398285654,62.96287116776027,194.47178894337438,0.7492187098379688,50.588929541682404,157.99791342562278,4942.8398184870675,333751.6429179174,1042363.6882839408,67.52224534358348,-143.3613208980985,654816.3207794961
12007060507017005e8,32,6909.168772201,032,1.2291168647475592,33.17426605737736,3910.0518537822377,0,293.75506498125316,453.3244818092354,62.411426351012196,28.008043428887273,0,8292.021040346783,27.14554817831945,2.9859024012654594,6.332183424054938,35.265878172692744,3907.0659513809724,8285.688856922729,243657.90419501357,26994578.062211204,57247222.70642432,110.78884615459006,-124.16032528950986,21737002.77679151
12007060507017005e8,33,5703.1617585036,032,2.8520016351838953,36.14611782390685,4063.417916767439,0,110.92964745586887,310.97077179165615,64.74656027317222,25.748440814081476,0,14982.495050292102,21.946699682789443,0,0,42.79986059038278,4063.417916767439,14982.495050292102,244094.52818835637,23174329.67172642,85447592.8177954,94.93998019424619,-255.11945559883915,25644575.965944856
12007060507017006e8,34,5829.9775966819,032,-3.6399934632976434,24.545626308923037,2772.049390132478,0,0,0,35.671496997867635,14.76586415224224,0,7415.853895868841,14.086676443304164,29.224978755364752,75.6663403629709,21.58482055456347,2742.8244113771134,7340.1875555058705,125839.02026150402,15990604.86996079,42793129.004042506,127.07191169107146,-212.99056587045754,9177199.182340013
12007060507017006e8,35,7523.9589376441,032,0.34323400258067327,24.357514113204612,2281.949483237562,0,0,0,46.495604808013496,21.794856692228215,0,7206.663365622674,30.591560192421888,29.183258739023593,92.16414438133044,15.904044615591609,2252.7662244985386,7114.499221241344,119661.378630171,16949720.569238536,53529200.00252079,141.6473783209856,-305.6916095404172,6982555.156795666
12007060507017008e8,37,5493.9413268283,007,17.776686893688144,5.301623366142778,974.0424636218928,0,0,0,28.410413756410286,5.332103496579364,0,1905.9444416177262,22.782429289790148,6.678105696680833,12.625227996438316,5.627984466620138,967.364357925212,1893.3192136212879,30919.8164479121,5314643.024106045,10401784.672592051,171.88468867721636,-164.52690322582822,869320.2654763749
12007060507017008e8,38,4871.2213473339,026,16.54241425014677,3.5022589442458187,251.55984207118667,0,176.9119416649956,74.64790040619106,21.846468945221993,1.8017957508294073,0,973.052136842762,20.51494401374243,19.210502021803258,96.97854746206755,1.3315249314795636,232.34934004938341,876.0735893806944,6486.152670730558,1131825.0652875,4267548.370426672,174.49867783639735,-483.44888939932775,165405.46885861177
12007060507017008e8,39,7523.9589376441,026,11.624348700037865,0.9927977290699201,180.27714835340444,0,34.79516666720363,145.4819816862008,14.622428965160942,2.005282536053157,0,204.07063009115868,13.506079956671064,35.09390010738973,121.33645519998991,1.1163490084898786,145.18324824601473,82.73417489116876,8399.364099957551,1092352.7982368045,622488.5346210193,130.05184502506864,55.940456685067375,587520.0217547056
12007060507017009e8,40,5703.1617585036,007,1.9580992019467347,25.327407517565955,2623.408187083987,0,0,0,38.6923776837196,11.406870964206906,0,14504.587251401208,17.171640839758762,0,0,21.520736843960837,2623.408187083987,14504.587251401208,122736.2433832969,14961721.249522652,82722007.33507021,121.90141100211304,-552.080495684855,9585527.427136727
