biosum_cond_id,ID,acres,rxpackage,cum_discount_carb,cum_discount_merch,cum_discount_cost,total_discount_carb,cum_discount_decay,cum_discount_biochar,base_disc_carb,base_disc_cost,relative_carb,relative_cost,total_carbon,total_cost,cpu,lat,lon,NAME
12006060506007009e8,2,7523.9589376441,018,19.55469039599864,1.4536900986468568,36.895843781480025,22.38565698236474,1.377276487719244,0,21.34971706538193,29.248183506517346,1.0359399169828087,7.6476602749626785,7794.369397245091,57540.68187787118,7.382339602509583,39.739733,-121.508703,Butte
12006060506015007e8,3,3790.4925445038,018,21.476753090381884,1.2846921015068022,496.13556663435827,44.47393011399032,21.712484922101638,0,31.352284133967892,7.313634171867777,13.121645980022429,488.8219324624905,49737.50125889327,1852875.8905890104,37.25309562586256,41.78481,-124.066632,Del Norte
12007060107093007e8,9,1820.9236377558,019,1.2440179110610754,6.034351690577989,389.78032767001736,11.175602026627235,3.8972324249881716,0,10.249980445618244,0,0.9256215810089916,389.78032767001736,1685.486216476168,709760.2121865357,421.1011666831815,41.986027,-122.932582,Siskiyou
12007060107093008e8,11,2513.1404044834,033,-6.7859645249009235,5.539074411778875,3355.2619378498334,39.59677505513806,40.84366516826011,0,10.413690784444187,0,29.183084270693875,3355.2619378498334,73341.18820812475,8432244.343635686,114.97283517833108,41.985813,-123.229826,Siskiyou
12007060506023007e8,12,6787.6748197653,014,11.765155034999488,2.45131703390311,31.138301689642148,15.614040803740751,1.3975687348381547,0,15.521671204650591,3.62606327201081,0.09236959909016029,27.512238417631337,626.9748018560967,186744.12794273574,297.8494947323214,40.468323,-124.137839,Humboldt
12007060506045008e8,13,6873.4365595498,014,15.249039971353332,9.121528776331674,508.18831884045704,34.18051118132223,9.809942433637227,0,30.08135630595317,0,4.099154875369059,508.18831884045704,28175.280983618497,3493000.169854148,123.97392494098025,39.253969,-123.461892,Mendocino
12007060507003005e8,16,5822.2801058371,017,1.9652640411165856,1.5559633934739732,273.022636244756,5.564389034834481,2.0431616002439226,0,3.646531760105988,0,1.9178572747284934,273.022636244756,11166.302256486664,1589614.2634510417,142.35816181024583,38.831665,-119.885685,Alpine
12007060507003008e8,17,4319.9369845697,014,4.080745396178921,3.9999724675182353,495.0858051718347,9.04105060858127,0.9603327448841131,0,4.3723307036594345,0,4.668719904921835,495.0858051718347,20168.57578786857,2138739.4802972777,106.04315856470802,38.821511,-119.825152,Alpine
12007060507007006e8,22,8231.4975334992,009,5.419514553470469,2.160565992823951,416.21506578715093,15.425973310892022,7.845892764597602,0,10.58089126152893,10.730458036127494,4.845082049363093,405.4846077510234,39882.280938933545,3337745.5485744397,83.68993623221017,39.981189,-121.659718,Butte
12007060507007009e8,24,3448.6516703993,026,6.372955298658171,0,47.64080135931763,9.120830191648233,2.7478748929900614,0,8.980970886997845,0,0.13985930465038798,47.64080135931763,482.32602460344515,164296.52918697198,340.63376389870723,39.82125,-121.621317,Butte
12007060507009006e8,26,6042.0274494911,017,5.820111713540425,15.014919239721614,1688.3595413265195,31.72485717914447,10.88982622588243,0,10.641868002339482,21.494557136774453,21.082989176804986,1666.8649841897452,127383.9993235795,10071243.989069989,79.06208034407148,38.484068,-120.095327,Calaveras
12007060507009007e8,28,2984.0925997738,007,6.272948563376216,6.586996714798549,130.80306178883887,17.823404480420283,4.9634592022455175,0,16.68096484374881,5.592564246439791,1.1424396366714724,125.21049754239908,3409.1456654796098,373639.71913026867,109.59922390928514,37.906642,-120.594664,Calaveras
1200706050701101e9,29,1934.2492249705,025,8.181643457980933,2.0209227812069184,137.40748832074775,11.326489409248309,1.1239231700604577,0,10.919849663796104,0,0.40663974545220505,137.40748832074775,786.542612483129,265780.32778954937,337.90963588161634,39.271049,-122.628748,Colusa
12007060507015005e8,30,6597.3256588267,018,20.801636325933533,0.7985438383663434,71.91330976600563,22.856856108123623,1.2566759438237476,0,22.107637398285654,43.28151026596568,0.7492187098379688,28.631799500039946,4942.8398184870675,188893.30549999504,38.215542569982084,41.612886,-123.956017,Del Norte
12007060507017005e8,33,5703.1617585036,017,18.158094705103505,10.997547528053545,1071.0297230007086,37.23981512238847,8.084172889231423,0,21.946699682789443,0,15.293115439599028,1071.0297230007086,87219.11114350214,6108255.758438345,70.03345572266144,38.554009,-120.420481,El Dorado
12007060507017006e8,34,5829.9775966819,032,-3.6399934632976434,24.545626308923037,2788.7264508394014,35.671496997867635,14.76586415224224,0,14.086676443304164,27.965252015913485,21.58482055456347,2760.761198823488,125839.02026150402,16095175.938929599,127.90290249782997,38.606899,-120.241285,El Dorado
12007060507017008e8,39,7523.9589376441,026,11.624348700037865,0.9927977290699201,81.12258296784046,14.622428965160942,2.005282536053157,0,13.506079956671064,27.377379434994722,1.1163490084898786,53.745203532845736,8399.364099957551,404376.7044764559,48.143728461360496,38.762116,-120.747923,El Dorado
12007060507017009e8,40,5703.1617585036,017,14.198450830857784,3.341081586389824,386.6857962583083,22.044480527859385,4.50494811061178,0,17.171640839758762,0,4.872839688100623,386.6857962583083,27790.59296449408,2205331.6457768986,79.3553289271115,38.606625,-120.430194,El Dorado
12007060507019009e8,43,5759.9159794262,018,3.5069688847939755,6.576003924929959,351.69763547444524,10.959500980602392,0.876528170878458,0,6.149485390529107,0,4.810015590073285,351.69763547444524,27705.285658552257,2025748.8304956676,73.11777454531841,37.182131,-119.224746,Fresno
